project_tier,source,year,model,trim,title,price_usd,current_bid_usd,mileage,title_status,drivable,location,seller_type,vin,listing_id,source_url,photo_url,first_seen
salvage,copart,2025,TAYCAN,BASE,2025 Porsche TAYCAN BASE,,60.0,8714,salvage,,CA - VAN NUYS,salvage_auction,WP0AA2Y15SS******,WP0AA2Y15SS******,https://www.copart.com/lot/48507676,,2026-05-14 03:48:49.280406+00:00
salvage,copart,2025,CAYENNE,COUPE,2025 Porsche CAYENNE COUPE,,60.0,2481,salvage,,CA - VAN NUYS,salvage_auction,WP1BA2AYXSD******,WP1BA2AYXSD******,https://www.copart.com/lot/46390316,,2026-05-14 03:48:49.281087+00:00
salvage,copart,2026,CAYENNE,COUPE,2026 Porsche CAYENNE COUPE,,100.0,1427,salvage,,KS - KANSAS CITY,salvage_auction,WP1BA2AY1TD******,WP1BA2AY1TD******,https://www.copart.com/lot/50513336,,2026-05-14 03:48:49.281494+00:00
clean,copart,2021,CAYENNE,,2021 Porsche CAYENNE,,125.0,144483,unknown,,MA - NORTH BOSTON,salvage_auction,WP1AA2AY2MD******,WP1AA2AY2MD******,https://www.copart.com/lot/50843556,,2026-05-14 03:48:49.281030+00:00
salvage,copart,2023,CAYENNE,S,2023 Porsche CAYENNE S,,125.0,54807,salvage,,MA - FREETOWN,salvage_auction,WP1AB2AY7PD******,WP1AB2AY7PD******,https://www.copart.com/lot/50815676,,2026-05-14 03:48:49.281391+00:00
clean,copart,2014,911,CARRERA S,2014 Porsche 911 CARRERA S,,150.0,155086,clean,,CA - RANCHO CUCAMONGA,salvage_auction,WP0CB2A95ES******,WP0CB2A95ES******,https://www.copart.com/lot/53465556,,2026-05-14 03:32:58.596987+00:00
clean,copart,2023,CAYENNE,BASE,2023 Porsche CAYENNE BASE,,150.0,,unknown,,TX - HOUSTON,salvage_auction,PARTSNLY123******,PARTSNLY123******,https://www.copart.com/lot/46932716,,2026-05-14 03:48:49.281330+00:00
clean,copart,2018,CAYENNE,,2018 Porsche CAYENNE,,150.0,97624,unknown,,TX - HOUSTON,salvage_auction,WP1AA2A27JK******,WP1AA2A27JK******,https://www.copart.com/lot/50092166,,2026-05-14 03:48:49.281589+00:00
salvage,copart,2019,CAYENNE,,2019 Porsche CAYENNE,,175.0,53454,salvage,,NV - LAS VEGAS WEST,salvage_auction,WP1AA2AY1KD******,WP1AA2AY1KD******,https://www.copart.com/lot/48108956,,2026-05-14 03:48:49.281210+00:00
salvage,copart,2025,CAYENNE,S COUPE,2025 Porsche CAYENNE S COUPE,,200.0,,salvage,,NM - ALBUQUERQUE,salvage_auction,WP1BL2AY5SD******,WP1BL2AY5SD******,https://www.copart.com/lot/49094586,,2026-05-14 03:48:49.281160+00:00
